"","year","marital","age","race","rincome","partyid","relig","denom","tvhours"
"1",2000,"Never married",26,"White","$8000 to 9999","Ind,near rep","Protestant","Southern baptist",12
"2",2000,"Divorced",48,"White","$8000 to 9999","Not str republican","Protestant","Baptist-dk which",NA
"3",2000,"Widowed",67,"White","Not applicable","Independent","Protestant","No denomination",2
"4",2000,"Never married",39,"White","Not applicable","Ind,near rep","Orthodox-christian","Not applicable",4
"5",2000,"Divorced",25,"White","Not applicable","Not str democrat","None","Not applicable",1
"6",2000,"Married",25,"White","$20000 - 24999","Strong democrat","Protestant","Southern baptist",NA
"7",2000,"Never married",36,"White","$25000 or more","Not str republican","Christian","Not applicable",3
"8",2000,"Divorced",44,"White","$7000 to 7999","Ind,near dem","Protestant","Lutheran-mo synod",NA
"9",2000,"Married",44,"White","$25000 or more","Not str democrat","Protestant","Other",0
"10",2000,"Married",47,"White","$25000 or more","Strong republican","Protestant","Southern baptist",3
"11",2000,"Married",53,"White","$25000 or more","Not str democrat","Protestant","Other",2
"12",2000,"Married",52,"White","$25000 or more","Ind,near rep","None","Not applicable",NA
"13",2000,"Married",52,"White","$25000 or more","Strong democrat","Protestant","Southern baptist",1
"14",2000,"Married",51,"White","$25000 or more","Strong republican","Protestant","United methodist",NA
"15",2000,"Divorced",52,"White","$25000 or more","Ind,near dem","None","Not applicable",1
"16",2000,"Married",40,"Black","$25000 or more","Strong democrat","Protestant","Baptist-dk which",7
"17",2000,"Widowed",77,"White","Not applicable","Strong republican","Jewish","Not applicable",NA
"18",2000,"Never married",44,"White","$25000 or more","Independent","None","Not applicable",3
"19",2000,"Married",40,"White","$10000 - 14999","Not str democrat","Catholic","Not applicable",3
"20",2000,"Married",45,"Black","Not applicable","Independent","Protestant","United methodist",NA
"21",2000,"Married",48,"White","$25000 or more","Ind,near dem","Catholic","Not applicable",1
"22",2000,"Married",49,"White","Refused","Strong republican","Protestant","United methodist",2
"23",2000,"Never married",19,"White","Not applicable","Independent","None","Not applicable",2
"24",2000,"Widowed",54,"White","$25000 or more","Ind,near rep","Christian","Not applicable",1
"25",2000,"Widowed",82,"White","Not applicable","Not str democrat","Protestant","Other",3
"26",2000,"Widowed",83,"White","Not applicable","Strong democrat","Protestant","Episcopal",NA
"27",2000,"Widowed",89,"White","Not applicable","Not str democrat","Protestant","Other lutheran",4
"28",2000,"Widowed",88,"White","Not applicable","Strong republican","Protestant","Afr meth ep zion",NA
"29",2000,"Divorced",72,"White","Not applicable","Strong democrat","Protestant","Southern baptist",7
"30",2000,"Widowed",82,"White","Not applicable","Independent","Protestant","Am bapt ch in usa",NA
"31",2000,"Widowed",89,"White","Not applicable","Ind,near rep","Protestant","Other methodist",3
"32",2000,"Married",34,"White","Refused","Not str democrat","Catholic","Not applicable",NA
"33",2000,"Married",55,"Black","Not applicable","Not str democrat","Protestant","Other",1
"34",2000,"Never married",37,"White","$25000 or more","Independent","None","Not applicable",NA
"35",2000,"Married",22,"White","$10000 - 14999","Ind,near dem","Protestant","Other",NA
"36",2000,"Never married",33,"Other","$20000 - 24999","Not str democrat","Christian","Not applicable",NA
"37",2000,"Never married",37,"White","$25000 or more","Ind,near dem","None","Not applicable",1
"38",2000,"Never married",43,"White","$20000 - 24999","Independent","Catholic","Not applicable",4
"39",2000,"Never married",29,"White","$25000 or more","Ind,near rep","Catholic","Not applicable",2
"40",2000,"Never married",57,"White","Refused","Strong republican","Protestant","Southern baptist",1
"41",2000,"Married",31,"White","$20000 - 24999","Ind,near dem","None","Not applicable",2
"42",2000,"Married",45,"White","$25000 or more","Independent","Catholic","Not applicable",NA
"43",2000,"Divorced",36,"Black","$15000 - 19999","Strong democrat","None","Not applicable",NA
"44",2000,"Never married",52,"White","Not applicable","Ind,near dem","Other","Not applicable",1
"45",2000,"Never married",26,"White","$25000 or more","Ind,near rep","None","Not applicable",1
"46",2000,"Never married",46,"White","$10000 - 14999","Strong democrat","Catholic","Not applicable",NA
"47",2000,"Married",65,"White","$25000 or more","Strong republican","Protestant","Southern baptist",1
"48",2000,"Married",52,"White","$3000 to 3999","Ind,near rep","Protestant","Presbyterian c in us",4
"49",2000,"Married",56,"White","$25000 or more","Not str republican","Protestant","Episcopal",5
"50",2000,"Married",66,"White","$25000 or more","Strong republican","Protestant","Southern baptist",3
"51",2000,"Never married",20,"White","$15000 - 19999","Strong republican","Protestant","Methodist-dk which",2
"52",2000,"Married",64,"White","$5000 to 5999","Strong republican","Protestant","Other",NA
"53",2000,"Married",59,"White","$25000 or more","Strong democrat","Protestant","Other",NA
"54",2000,"Married",46,"White","Not applicable","Not str republican","Protestant","No denomination",3
"55",2000,"Married",26,"Other","$10000 - 14999","Not str democrat","None","Not applicable",2
"56",2000,"Divorced",39,"Black","Don't know","Independent","None","Not applicable",NA
"57",2000,"Divorced",51,"White","$20000 - 24999","Independent","Protestant","Baptist-dk which",2
"58",2000,"Divorced",45,"White","$25000 or more","Ind,near rep","Protestant","Southern baptist",2
"59",2000,"Never married",23,"White","$1000 to 2999","Strong democrat","Protestant","Other",0
"60",2000,"Never married",21,"White","Don't know","Not str republican","Protestant","Presbyterian c in us",NA
"61",2000,"Married",26,"White","$10000 - 14999","Not str republican","Protestant","United methodist",2
"62",2000,"Married",31,"Other","$25000 or more","Not str republican","Christian","Not applicable",NA
"63",2000,"Never married",27,"Black","$25000 or more","Strong democrat","Protestant","Am bapt ch in usa",4
"64",2000,"Divorced",78,"White","Not applicable","Ind,near dem","Protestant","Southern baptist",4
"65",2000,"Never married",29,"White","$10000 - 14999","Independent","None","Not applicable",NA
"66",2000,"Widowed",43,"Black","Not applicable","Independent","None","Not applicable",3
"67",2000,"Divorced",61,"White","$25000 or more","Strong republican","Catholic","Not applicable",NA
"68",2000,"Married",33,"White","Not applicable","Strong democrat","Protestant","No denomination",2
"69",2000,"Never married",34,"Black","$15000 - 19999","Strong democrat","Protestant","Nat bapt conv usa",NA
"70",2000,"Never married",89,"White","Not applicable","Independent","Protestant","Am lutheran",2
"71",2000,"Widowed",83,"Black","Not applicable","Strong democrat","Protestant","United methodist",12
"72",2000,"Widowed",78,"Black","Not applicable","Strong democrat","Other","Not applicable",4
"73",2000,"Widowed",89,"Black","Not applicable","Independent","Protestant","Baptist-dk which",8
"74",2000,"Widowed",84,"Black","Not applicable","Strong democrat","Protestant","Nat bapt conv of am",NA
"75",2000,"Widowed",69,"Black","Not applicable","Not str democrat","Protestant","Nat bapt conv of am",4
"76",2000,"Never married",32,"Black","$10000 - 14999","Ind,near dem","Protestant","Nat bapt conv usa",5
"77",2000,"Widowed",76,"Black","Not applicable","Strong democrat","Protestant","Southern baptist",NA
"78",2000,"Never married",41,"Black","Not applicable","Strong democrat","Protestant","Nat bapt conv of am",5
"79",2000,"Married",32,"Black","$25000 or more","Strong democrat","Catholic","Not applicable",2
"80",2000,"Never married",29,"Black","$25000 or more","Not str republican","Protestant","Baptist-dk which",4
"81",2000,"Married",40,"Black","$25000 or more","Strong democrat","Protestant","Southern baptist",1
"82",2000,"Married",44,"White","$3000 to 3999","Not str republican","Protestant","Lutheran-mo synod",NA
"83",2000,"Widowed",70,"Black","Not applicable","Strong democrat","Catholic","Not applicable",2
